"","fips","state","county","lifeExpectancy","lifeExpectancyAIAN","lifeExpectancyAsian","lifeExpectancyBlack","lifeExpectancyHispanic","lifeExpectancyWhite","prematureDeathsAgeAdjusted","prematureDeathsAgeAdjustedRate","prematureDeathsAgeAdjustedAIAN","prematureDeathsAgeAdjustedAsian","prematureDeathsAgeAdjustedBlack","prematureDeathsAgeAdjustedHispanic)","prematureDeathsAgeAdjustedWhite","deathsChild","deathsChildRate","deathsChildRateAIAN","deathsChildRateAsian","deathsChildRateBlack","deathsChildRateHispanic","deathsChildRateWhite","deathsInfant","deathsInfantRate","deathsInfantRateAIAN","deathsInfantRateAsian","deathsInfantRateBlack","deathsInfantRateHispanic","deathsInfantRateWhite","freqPhysDistress%","freqMentDistress%","diabetesAdultPrevalence%","HIVCases","HIVCaseRate","foodInsecure","foodInsecure%","limitedAccessHealthyFood","limitedAccessHealthyFood%","drugOverdoseDeaths","drugOverdoseDeathsRate","drugOverdoseDeathsRateAIAN","drugOverdoseDeathsRateAsian","drugOverdoseDeathsRateBlack","drugOverdoseDeathsRateHispanic","drugOverdoseDeathsRateWhite","motorVehicleDeaths","motorVehicleDeathsRate","motorVehicleDeathsRateAIAN","motorVehicleDeathsRateAsian","motorVehicleDeathsRateBlack","motorVehicleDeathsRateHispanic","motorVehicleDeathsRateWhite","insufficientSleep%","uninsuredAdults","uninsuredAdults%","uninsuredChildren","uninsuredChildren%","otherPrimCareProvRate","otherPrimCareProvRatio","disconnectedYouth%","readingAveragePerf","readingAveragePerfAsian","readingAveragePerfBlack","readingAveragePerfHispanic","readingAveragePerfWhite","mathAveragePerf","mathAveragePerfAsian","mathAveragePerfBlack","mathAveragePerfHispanic","mathAveragePerfWhite","medianHouseholdIncome","medianHouseholdIncomeAIAN","medianHouseholdIncomeAsian","medianHouseholdIncomeBlack","medianHouseholdIncomeHispanic","medianHouseholdIncomeWhite","childrenFreeLunch%","segregationIndexBlackWhite","segregationIndexWhitenonWhite","homicideRate","homicideRateAIAN","homicideRateAsian","homicideRateBlack","homicideRateHispanic","homicideRateWhite","suicides","suicideRateAgeAdjusted","suicideCrudeRate","suicideCrudeRateAIAN","suicideCrudeRateAsian","suicideCrudeRateBlack","suicideCrudeRateHispanic","suicideCrudeRateWhite","firearmFatalities","firearmFatalitiesRate","firearmFatalitiesAIAN","firearmFatalitiesAsian","firearmFatalitiesBlack","firearmFatalitiesHispanic","firearmFatalitiesWhite","juvenileArrestsNonPetitioned","juvenileArrestsPetitioned","juvenileArrestsDenominator","juvenileArrestsRate","trafficVolume","homeowners","homeowners%","severeCostBurden","severeCostBurden%","Population","Population%lt18","Population%65andover","Population#Black","Population%Black","Population#AmericanIndian&AlaskaNative","Population%AmericanIndian&AlaskaNative","Population#Asian","Population%Asian","Population# Native Hawaiian/Other Pacific Islander","Population%Native Hawaiian/Other Pacific Islander","Population#Hispanic","Population%Hispanic","Population#Non-Hispanic White","Population%Non-Hispanic White","Population#NotEnglishProficient","Population%NotEnglishProficient","Population%Female","Population#Rural","Population%Rural"
"84","17165","Illinois","Saline",73.774888494,NA,NA,NA,NA,NA,488,528.15523535,NA,NA,929.17107858,NA,524.16079726,16,76.234038498,NA,NA,NA,NA,NA,20,9.3196644921,NA,NA,NA,NA,NA,12.282686136,13.516757727,11.2,NA,NA,3480,14.3,4920.2099188,19.749568172,16,22.125423494,NA,NA,NA,NA,NA,26,15.172735761,NA,NA,NA,NA,NA,31.632323068,1187,8.584032398,148,2.8615622583,125.49151,"797:1",NA,2.9093012154,NA,NA,NA,NA,2.673783096,NA,NA,NA,NA,40761,NA,NA,30365,82813,42168,58.192090395,40.341566428,26.434105109,NA,NA,NA,NA,NA,NA,20,16.240579445,16.464293064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"84",2400,35,111.72079999,7240,72.385522895,1214,12.682824906,23906,21.668200452,20.266878608,905,3.7856605036,114,0.476867732,156,0.6525558437,21,0.0878440559,452,1.8907387267,21832,91.324353719,170,0.7469572477,50.644189743,10878,43.663950548
"85","17167","Illinois","Sangamon",78.021812542,NA,86.911332893,73.835579421,95.0548428,78.516883391,2593,360.55314286,NA,NA,557.81715904,NA,342.9961169,109,61.333123263,NA,NA,118.48022188,NA,44.69273743,121,7.6388888889,NA,NA,16.09340486,NA,5.3970701619,10.820711628,12.224955698,11.2,288,173.5,24950,12.6,10206.996746,5.1690156462,129,21.890415562,NA,NA,20.932351565,NA,22.909555159,142,10.249569807,NA,NA,10.245901639,NA,10.554953044,32.696532577,7845,6.6958570185,1025,2.2445091642,184.79841,"541:1",7.6813220443,2.9544812483,NA,2.4082179699,3.1371273417,3.135532311,2.8543476834,NA,2.2139868638,2.975909475,3.0636796399,62242,90677,76493,26543,55500,65500,45.271265908,56.197917183,46.967357807,5.3413251106,NA,NA,25.345125108,NA,2.2869064928,146,14.252614616,14.792180003,NA,NA,NA,NA,NA,108,10.94216055,NA,NA,25.372755631,NA,9.0462860039,NA,"322",20800,15.480769231,216.48548531,57651,68.910244917,10550,12.907882985,195348,22.189630813,17.858897967,24965,12.779757151,526,0.2692630587,4122,2.1100804718,74,0.0378811147,4592,2.350676741,156729,80.230665274,696,0.3737153535,52.013330057,27895,14.126554073
"86","17169","Illinois","Schuyler",75.635205334,NA,NA,NA,NA,NA,141,488.20847407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.054569868,12.173220202,14.7,NA,NA,930,13,269.48775048,3.5722130233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.343345256,342,8.2330284064,37,2.6447462473,57.91226,"1727:1",NA,3.0335443276,NA,NA,NA,NA,2.8533819367,NA,NA,NA,NA,52018,NA,NA,40132,NA,46957,39.679547597,55.983908817,53.591564319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1-4",700,NA,47.122703323,2169,76.480959097,128,4.6292947559,6907,18.169972492,22.78847546,247,3.5760822354,13,0.1882148545,29,0.4198639062,0,0,129,1.8676704792,6453,93.426958158,85,1.2566528681,47.531489793,4348,57.635206787
"87","17171","Illinois","Scott",76.852993605,NA,NA,NA,NA,NA,77,436.78523441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.90621861,12.234919577,13.7,0,0,580,11.3,67.645094589,1.2632137178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.833971026,175,5.9362279512,29,2.5915996425,20.30045,"4926:1",NA,2.912493627,NA,NA,NA,NA,3.109108123,NA,NA,NA,NA,55198,NA,NA,NA,NA,NA,48.152562574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",500,0,18.538793473,1532,78.20316488,134,7.1314529005,4926,21.579374746,19.874137231,26,0.5278116119,11,0.2233049127,11,0.2233049127,0,0,64,1.299228583,4773,96.894031669,8,0.1665972511,50.588712952,5355,100
"88","17173","Illinois","Shelby",80.434708281,NA,NA,NA,NA,NA,286,315.59732563,NA,NA,NA,NA,NA,12,64.938578927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.832621905,12.053982347,11.3,5,27.1,2150,9.8,2034.4186764,9.0972529463,NA,NA,NA,NA,NA,NA,NA,27,17.610801291,NA,NA,NA,NA,NA,29.676705758,763,6.1871553681,107,2.2356874216,32.19723,"3106:1",NA,3.2925347221,NA,NA,NA,NA,3.3432919397,NA,NA,NA,NA,56509,NA,NA,NA,38482,51086,45.184389545,78.385098996,39.365507359,NA,NA,NA,NA,NA,NA,19,18.741999601,17.431192661,NA,NA,NA,NA,NA,11,10.091743119,NA,NA,NA,NA,NA,NA,"19",2200,8.6363636364,54.685945241,7384,80.234706074,728,8.2269182959,21741,21.351363783,22.524262913,74,0.3403707281,48,0.2207810128,73,0.3357711237,9,0.0413964399,230,1.0579090198,21126,97.171243273,23,0.1113639665,50.255278046,17383,77.731073648
"89","17175","Illinois","Stark",76.682870448,NA,NA,NA,NA,NA,94,423.08083897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.748770571,12.13251177,6.3,0,0,610,11.1,562.18706192,9.3791635289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.245819171,235,7.5708762887,37,2.9505582137,36.85277,"2714:1",NA,3.3223464252,NA,NA,NA,NA,3.1839382576,NA,NA,NA,NA,52651,NA,NA,NA,NA,NA,42.95532646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6",600,10,18.803560209,1841,80.252833479,194,8.9277496549,5427,21.503593145,22.295927769,45,0.8291873964,13,0.2395430256,30,0.5527915976,4,0.0737055463,109,2.0084761378,5160,95.080154782,4,0.0770712909,50.488299245,5994,100
"90","17177","Illinois","Stephenson",79.060873277,NA,NA,75.085199016,97.410551406,79.43587219,605,337.61490864,NA,NA,480.56533293,NA,324.75625984,24,61.465963223,NA,NA,NA,NA,NA,26,7.7151335312,NA,NA,NA,NA,NA,11.421891264,12.683293191,10.7,43,111.6,5870,12.8,1028.9255381,2.1565792755,16,11.814134135,NA,NA,NA,NA,NA,35,10.892771557,NA,NA,NA,NA,NA,30.561473027,1959,7.7516619183,255,2.545672357,58.09666,"1721:1",NA,2.958091919,NA,2.3889485396,2.3089812162,3.2358232298,2.8529076054,NA,2.1057727249,2.4558346143,3.1849695417,47357,NA,NA,29478,27431,51732,52.181958365,54.571646367,48.715041281,3.4234424893,NA,NA,NA,NA,NA,26,11.503782615,11.422797267,NA,NA,NA,NA,NA,13,5.7113986337,NA,NA,NA,NA,NA,NA,"82",4500,18.222222222,107.02735429,13468,68.682747718,2021,10.671101959,44753,21.359461936,22.729202512,4451,9.9457019641,129,0.2882488325,298,0.6658771479,19,0.0424552544,1871,4.1807253145,36785,82.195606998,145,0.3378378378,51.386499229,19129,40.093479491
"91","17179","Illinois","Tazewell",78.711392149,NA,NA,76.37630738,86.991807501,78.51533296,1703,346.3161442,NA,NA,NA,NA,NA,48,39.355552823,NA,NA,NA,NA,NA,59,5.5047583504,NA,NA,NA,NA,NA,9.6168009985,11.144685012,12.4,51,45.5,12570,9.3,13776.803678,10.175342835,85,21.237310707,NA,NA,NA,NA,NA,87,9.2254150641,NA,NA,NA,NA,NA,28.09259076,4431,5.7225142385,622,1.9581300173,43.83048,"2282:1",5.1311103917,3.2315573418,3.4629543158,3.2037925736,NA,3.2314714947,3.1251215854,3.6006554517,NA,NA,3.1298238295,61508,NA,82589,25809,49741,62882,36.372996029,63.453041655,36.200750967,1.5905888042,NA,NA,NA,NA,NA,94,14.272768862,14.014246824,NA,NA,NA,NA,NA,53,7.9016498048,NA,NA,NA,NA,NA,NA,"105",14100,7.4468085106,149.32462448,41756,76.457986194,3894,7.3239542582,132328,22.667160389,18.76473611,1664,1.2574814098,432,0.3264615199,1220,0.9219515144,42,0.0317393144,3070,2.3199927453,124277,93.915875703,400,0.3178462736,50.84940451,27645,20.418186921
"92","17181","Illinois","Union",76.093474838,NA,NA,NA,NA,NA,305,454.52211277,NA,NA,NA,NA,NA,13,90.46624913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.686309245,12.696469446,10.2,7,48,2010,11.7,965.35824513,5.4209245571,10,19.587487513,NA,NA,NA,NA,NA,11,9.080552758,NA,NA,NA,NA,NA,30.685556995,875,8.8751394665,107,2.8848746293,136.57146,"732:1",NA,2.8398002777,NA,NA,NA,NA,2.6961171911,NA,NA,NA,NA,49716,61094,NA,NA,31522,50612,61.413043478,69.704145895,30.441339209,NA,NA,NA,NA,NA,NA,22,27.09934988,25.608790799,NA,NA,NA,NA,NA,13,15.132467291,NA,NA,NA,NA,NA,NA,"0",1700,0,76.291917022,5176,77.612835508,598,9.4755189352,16841,21.020129446,21.358589157,208,1.2350810522,120,0.7125467609,78,0.4631553946,6,0.035627338,900,5.3441007066,15334,91.051600261,77,0.4747225647,49.890149041,11730,65.869272237
"93","17183","Illinois","Vermilion",74.924241634,NA,NA,67.952858998,94.067729896,75.924237931,1370,488.76979635,NA,NA,768.35505265,297.09894023,458.03436052,64,86.163953848,NA,NA,191.81585678,NA,61.865635573,78,11.071682044,NA,NA,20.093770931,NA,9.4758064516,11.868267441,12.862672567,16.5,124,190.5,11670,14.7,4669.3462898,5.7204855006,64,27.488338931,NA,NA,38.249919087,NA,27.148535065,74,13.38416906,NA,NA,12.675235126,NA,14.066069691,32.212263663,3483,8.1774000423,478,2.5199008909,126.29222,"792:1",10.577167557,2.6538445038,NA,2.1297437804,2.4956821255,2.8623438367,2.5306074799,NA,2.0026484805,2.5487993627,2.6952740288,44638,21563,55250,22419,40455,49914,59.239345299,63.427007719,55.562242072,8.8624903236,NA,NA,44.36332294,NA,2.4955930096,60,15.966331655,15.312528711,NA,NA,NA,NA,NA,67,17.098990394,NA,NA,49.482204079,NA,11.570614496,NA,"134",8300,16.144578313,160.25176817,21563,69.156510584,3340,11.130365236,76806,23.552847434,19.342238888,10394,13.532796917,300,0.3905944848,697,0.9074811864,27,0.0351535036,3999,5.2066244825,59855,77.930109627,524,0.715211902,50.236960654,25513,31.256355283
