"","fips","state","county","lifeExpectancy","lifeExpectancyAIAN","lifeExpectancyAsian","lifeExpectancyBlack","lifeExpectancyHispanic","lifeExpectancyWhite","prematureDeathsAgeAdjusted","prematureDeathsAgeAdjustedRate","prematureDeathsAgeAdjustedAIAN","prematureDeathsAgeAdjustedAsian","prematureDeathsAgeAdjustedBlack","prematureDeathsAgeAdjustedHispanic)","prematureDeathsAgeAdjustedWhite","deathsChild","deathsChildRate","deathsChildRateAIAN","deathsChildRateAsian","deathsChildRateBlack","deathsChildRateHispanic","deathsChildRateWhite","deathsInfant","deathsInfantRate","deathsInfantRateAIAN","deathsInfantRateAsian","deathsInfantRateBlack","deathsInfantRateHispanic","deathsInfantRateWhite","freqPhysDistress%","freqMentDistress%","diabetesAdultPrevalence%","HIVCases","HIVCaseRate","foodInsecure","foodInsecure%","limitedAccessHealthyFood","limitedAccessHealthyFood%","drugOverdoseDeaths","drugOverdoseDeathsRate","drugOverdoseDeathsRateAIAN","drugOverdoseDeathsRateAsian","drugOverdoseDeathsRateBlack","drugOverdoseDeathsRateHispanic","drugOverdoseDeathsRateWhite","motorVehicleDeaths","motorVehicleDeathsRate","motorVehicleDeathsRateAIAN","motorVehicleDeathsRateAsian","motorVehicleDeathsRateBlack","motorVehicleDeathsRateHispanic","motorVehicleDeathsRateWhite","insufficientSleep%","uninsuredAdults","uninsuredAdults%","uninsuredChildren","uninsuredChildren%","otherPrimCareProvRate","otherPrimCareProvRatio","disconnectedYouth%","readingAveragePerf","readingAveragePerfAsian","readingAveragePerfBlack","readingAveragePerfHispanic","readingAveragePerfWhite","mathAveragePerf","mathAveragePerfAsian","mathAveragePerfBlack","mathAveragePerfHispanic","mathAveragePerfWhite","medianHouseholdIncome","medianHouseholdIncomeAIAN","medianHouseholdIncomeAsian","medianHouseholdIncomeBlack","medianHouseholdIncomeHispanic","medianHouseholdIncomeWhite","childrenFreeLunch%","segregationIndexBlackWhite","segregationIndexWhitenonWhite","homicideRate","homicideRateAIAN","homicideRateAsian","homicideRateBlack","homicideRateHispanic","homicideRateWhite","suicides","suicideRateAgeAdjusted","suicideCrudeRate","suicideCrudeRateAIAN","suicideCrudeRateAsian","suicideCrudeRateBlack","suicideCrudeRateHispanic","suicideCrudeRateWhite","firearmFatalities","firearmFatalitiesRate","firearmFatalitiesAIAN","firearmFatalitiesAsian","firearmFatalitiesBlack","firearmFatalitiesHispanic","firearmFatalitiesWhite","juvenileArrestsNonPetitioned","juvenileArrestsPetitioned","juvenileArrestsDenominator","juvenileArrestsRate","trafficVolume","homeowners","homeowners%","severeCostBurden","severeCostBurden%","Population","Population%lt18","Population%65andover","Population#Black","Population%Black","Population#AmericanIndian&AlaskaNative","Population%AmericanIndian&AlaskaNative","Population#Asian","Population%Asian","Population# Native Hawaiian/Other Pacific Islander","Population%Native Hawaiian/Other Pacific Islander","Population#Hispanic","Population%Hispanic","Population#Non-Hispanic White","Population%Non-Hispanic White","Population#NotEnglishProficient","Population%NotEnglishProficient","Population%Female","Population#Rural","Population%Rural"
"94","17185","Illinois","Wabash",80.075013153,NA,NA,NA,NA,NA,140,303.67825264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.752250288,11.986531042,12.4,NA,NA,1240,10.7,217.80145476,1.8230639889,NA,NA,NA,NA,NA,NA,NA,10,12.343697925,NA,NA,NA,NA,NA,29.412256222,487,7.3156076311,66,2.5229357798,77.92883,"1283:1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53414,NA,NA,NA,NA,NA,50.709438618,NA,53.444931178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20",1100,18.181818182,123.43036387,3737,76.327614379,351,7.5080213904,11549,22.55606546,20.668456143,97,0.8398995584,33,0.285739025,143,1.2382024418,5,0.0432937917,330,2.8573902502,10798,93.497272491,70,0.6456373363,49.571391462,4647,38.896794174
"95","17187","Illinois","Warren",78.821595164,NA,NA,NA,NA,NA,221,345.42050024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.790753899,11.896841945,17.5,NA,NA,1710,9.8,620.03538729,3.5016399576,NA,NA,NA,NA,NA,NA,NA,16,13.068158615,NA,NA,NA,NA,NA,31.264031938,881,9.5771279487,134,3.3941236069,35.22781,"2839:1",NA,2.884541017,NA,NA,2.1324403473,3.0719241705,2.8550030657,NA,NA,2.4209441494,3.0397183234,53532,NA,40426,35556,41176,52279,67.304804805,55.791635831,33.83598225,NA,NA,NA,NA,NA,NA,11,12.19985167,12.646876222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",1700,0,24.08248151,5053,75.53064275,487,7.6010613392,17032,21.923438234,19.533818694,418,2.4542038516,74,0.4344762799,438,2.5716298732,33,0.1937529357,1645,9.6582902771,14202,83.384217943,281,1.7283798745,50.698684829,8053,45.479189021
"96","17189","Illinois","Washington",78.995390923,NA,NA,NA,NA,NA,171,330.057813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.7842368502,11.1840459,10.7,NA,NA,1210,8.5,588.65400308,4.0000951555,NA,NA,NA,NA,NA,NA,NA,25,25.042070679,NA,NA,NA,NA,NA,29.647136425,527,6.4018464529,77,2.4919093851,78.5995,"1272:1",NA,3.0776698594,NA,NA,NA,NA,2.9182851591,NA,NA,NA,NA,66937,NA,NA,NA,63194,59500,37.904967603,NA,13.357723638,NA,NA,NA,NA,NA,NA,17,23.657239995,24.016048371,NA,NA,NA,NA,NA,12,16.952504733,NA,NA,NA,NA,NA,NA,"0",1400,0,50.467983485,4700,78.661087866,445,7.8179901616,13995,21.38620936,20.114326545,121,0.864594498,27,0.192926045,65,0.4644515899,3,0.0214362272,202,1.4433726331,13465,96.21293319,48,0.3585568088,50.067881386,10838,73.647730362
"97","17191","Illinois","Wayne",77.971871525,NA,NA,NA,NA,NA,232,361.59481906,NA,NA,NA,NA,NA,12,80.310534065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.134834407,12.355469095,14,6,43.4,1990,12,1192.9434959,7.1178012884,NA,NA,NA,NA,NA,NA,NA,24,20.801733478,NA,NA,NA,NA,NA,30.190298177,762,8.2628497072,111,2.8593508501,67.35244,"1485:1",NA,3.1090006355,NA,NA,NA,NA,2.9259587007,NA,NA,NA,NA,50471,NA,NA,23382,NA,50332,43.6011304,48.83856708,38.713956488,NA,NA,NA,NA,NA,NA,16,18.581746657,19.467325311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18",1700,10.588235294,72.333462982,5400,76.325088339,436,6.4823074636,16332,22.703894195,21.534410972,94,0.5755571883,53,0.324516287,118,0.7225079598,2,0.0122458976,252,1.5429831007,15680,96.007837374,121,0.7829688107,50.795983346,11721,69.934367542
"98","17193","Illinois","White",75.413045604,NA,NA,NA,NA,NA,252,460.39364396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.920451433,12.299666931,4.8,7,59.2,1530,10.8,2074.9990935,14.149328971,NA,NA,NA,NA,NA,NA,NA,21,21.060443473,NA,NA,NA,NA,NA,29.298329029,578,7.3856376182,90,2.8580501747,51.22576,"1952:1",NA,2.8704482764,NA,NA,NA,NA,2.9046187743,NA,NA,NA,NA,49507,NA,NA,NA,35729,48024,56.067769898,NA,NA,NA,NA,NA,NA,NA,NA,18,20.334385748,25.497195309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"98",1400,70,110.92211384,4738,77.902005919,519,9.0481171548,13665,21.866081229,21.609952433,76,0.556165386,53,0.3878521771,59,0.4317599707,7,0.0512257592,203,1.4855470179,13151,96.238565679,58,0.4388951949,50.735455543,9097,62.032049096
"99","17195","Illinois","Whiteside",78.028106719,NA,NA,NA,84.799224506,77.609821269,797,371.60395617,NA,NA,NA,239.9029034,382.90119288,22,43.865770742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.274214757,11.562899055,10.3,NA,NA,4970,8.8,4190.1991839,7.1629785359,19,11.290705966,NA,NA,NA,NA,NA,48,12.071280914,NA,NA,NA,NA,NA,29.333643851,2366,7.4178580386,306,2.3669554455,116.85183,"856:1",NA,NA,NA,NA,NA,NA,2.9198567942,NA,NA,2.711440288,3.0264054295,57197,40682,61734,35577,49522,54597,50.1602387,62.08347008,49.970408607,NA,NA,NA,NA,NA,NA,51,18.180555349,18.07004801,NA,NA,NA,NA,NA,23,8.1492373377,NA,NA,NA,NA,NA,NA,"64",5900,10.847457627,106.59008947,17553,75.186327422,1972,8.6438152012,55626,21.932189983,20.853557689,814,1.4633444792,262,0.4710027685,303,0.5447093086,14,0.0251680869,6741,12.118433826,46948,84.399381584,533,1.0021999511,50.44044152,21845,37.343157031
"100","17197","Illinois","Will",79.739789343,NA,91.194309014,76.79550154,85.610844797,79.271323269,6426,287.36065023,NA,126.35461779,395.72245095,191.02147655,298.32178351,272,38.660691316,NA,21.921652016,91.267605634,37.114858515,29.680251409,299,5.4900664684,NA,NA,12.435507342,4.2887776984,4.4125941409,9.3427654385,10.622888003,9.7,571,100.5,49530,7.2,38860.66651,5.7353838052,412,19.860207279,NA,NA,18.922466201,10.767056121,23.883037503,381,7.9168354102,NA,3.661890341,9.1435002022,6.5244099102,8.4433588697,31.476718023,33424,7.8639894971,4651,2.53279675,58.49981,"1709:1",5.2806663053,3.0150868177,3.5986631487,2.6633309223,2.6577612022,3.2634278071,2.9459048955,3.6534733276,2.4085409371,2.6288558518,3.2231794596,86108,70417,121689,60137,66540,90141,37.276760323,51.860681569,44.483515331,3.3038761948,NA,NA,16.176961896,2.8313476969,1.3331619268,369,10.59202378,10.704395648,NA,NA,5.1716557804,6.310004227,13.265456709,204,5.917877269,NA,NA,15.838399591,2.8760085062,5.3183406777,NA,"535",87400,6.1212814645,236.94176767,184653,81.042186019,27638,12.348591471,692310,24.865017117,13.058600916,80591,11.640883419,3242,0.4682873279,41201,5.9512357181,361,0.0521442706,123504,17.839407202,435945,62.969623435,20936,3.2330195439,50.37613208,26624,3.9293937068
"101","17199","Illinois","Williamson",76.937732344,NA,NA,81.209896835,104.32234595,76.717651791,1015,396.18961737,NA,NA,318.0005001,NA,405.37620472,38,64.472344757,NA,NA,NA,NA,NA,40,7.5542965061,NA,NA,NA,NA,NA,10.635428069,11.914988935,12.6,52,91.4,8090,12,2963.0528249,4.4653206518,42,20.797844947,NA,NA,NA,NA,NA,73,15.531386166,NA,NA,NA,NA,NA,31.483530447,2562,6.6452248794,329,2.1626240715,171.49845,"583:1",6.4732142857,3.1128931689,NA,2.7220572292,NA,3.1494834323,3.0089859043,NA,2.4181345466,NA,3.0525458245,46187,76667,NA,NA,53000,49888,49.927402962,45.61406751,35.747943313,2.9786220044,NA,NA,NA,NA,NA,68,18.866037308,20.212949367,NA,NA,NA,NA,NA,61,18.132204579,NA,NA,NA,NA,NA,NA,"9",6600,1.3636363636,101.76732017,18929,69.877071874,3040,11.634137007,67056,21.845919828,18.958780721,3007,4.4843116201,329,0.4906346934,907,1.3526008113,17,0.0253519446,1848,2.7559055118,59903,89.332796469,428,0.6760065074,50.31167979,23091,34.798137348
"102","17201","Illinois","Winnebago",76.744258662,NA,87.368721046,71.921013662,84.418087014,76.843305219,4244,423.69310102,NA,173.16081601,642.71312904,257.99365484,418.32969472,199,74.032462677,NA,NA,131.94660043,46.856133648,65.748380946,169,6.8418282661,NA,NA,13.876843018,4.3541364296,5.4516596508,12.14568978,12.262072053,10.5,381,160,36390,12.7,21679.885668,7.3424930972,369,43.171426833,NA,NA,65.708629164,16.45774474,45.477564402,231,11.474913901,NA,NA,20.381013789,7.6940520928,10.738599477,36.046820508,15412,9.202347757,1992,2.9015061031,110.53186,"905:1",10.017188037,2.8452093414,3.1559102332,2.2470612738,2.6058950608,3.1679942704,2.5957574373,NA,1.8175354184,2.3959794209,2.9944764304,53795,NA,70133,29358,43717,58497,48.387456508,51.843095384,42.50473537,8.1963670721,NA,NA,35.203569271,8.5039523131,3.347095941,208,13.950297355,14.541875007,NA,NA,NA,8.6339341075,16.381456377,187,13.073704934,NA,NA,37.630417749,8.3675473045,9.5887607861,NA,"351",30600,11.470588235,271.14620898,75348,65.744101633,14883,13.340205262,284081,23.405296377,17.536899687,36992,13.021638195,1553,0.546675068,8150,2.8689000672,157,0.0552659277,37271,13.11984962,194632,68.512853728,5980,2.2296959709,51.198777813,23368,7.9142197205
"103","17203","Illinois","Woodford",79.988244126,NA,NA,NA,NA,NA,360,268.59973566,NA,NA,NA,NA,NA,22,58.073542222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.2340241611,10.683493494,11.8,19,58.9,3070,7.9,692.69553318,1.7915775222,12,10.315570494,NA,NA,NA,NA,NA,35,12.82112335,NA,NA,NA,NA,NA,28.227438447,1209,5.4582392777,231,2.3380566802,51.99802,"1923:1",NA,3.4035706014,NA,NA,NA,NA,3.2373696178,NA,NA,NA,NA,72247,NA,NA,NA,59634,72222,25.558425771,NA,29.990649497,NA,NA,NA,NA,NA,NA,41,21.469151767,21.053388312,NA,NA,NA,NA,NA,20,10.269945518,NA,NA,NA,NA,NA,NA,"55",4500,12.222222222,39.549952422,11936,81.944253742,1186,8.2960268607,38463,24.043886332,18.095312378,250,0.6499753009,107,0.2781894288,300,0.7799703611,10,0.025999012,726,1.8875282739,36693,95.398174869,32,0.0878324596,50.110495801,21221,54.885681771
