"","fips","state","county","premDeath","ypllRate","ypllrAIAN","yplrAsian","yplrBlack","yplrHispanic","yplrWhite","healthLow%","physPoorDays","mentPoorDays","lowBirthweight","lowBirthweight%","lowBirthweight%AIAN","lowBirthweight%Asian","lowBirthweight%Black","lowBirthweight%Hispanic","lowBirthweight%White","smokingAdult%","obesityAdult%","foodEnvirIndex","physicalInactivity%","exerciseOpportunities%","drinkingExcessive%","drivingDeathsAlcInvolv","drivingDeaths","drivingDeathsAlcInvolv%","stiChlam","stiChlamrate","teenBirthrate","teenBirthrateAIAN","teenBirthrateAsian","teenBirthrateBlack","teenBirthrateHispanic","teenBirthrateWhite","unInsuredrn","unInsuredrn%","primeCarePhys","primeCarePhysRate","primeCarePhysRatio","dentists","dentistRate","dentistRatio","mentHlthProv","mentHlthProvRate","mentHlthProvRatio","prevHospStayRate","prevHospStayRateAIAN","prevHospStayRateAsian","prevHospStayRateBlack","prevHospStayRateHispanic","prevHospStayRateWhite","mammogramAnnual%","mammogramAnnual%AIAN","mammogramAnnual%Asian","mammogramAnnual%Black","mammogramAnnual%Hispanic","mammogramAnnual%White","fluVaccinations","fluVaccinations%AIAN","fluVaccinations%Asian","fluVaccinations%Black","fluVaccinations%Hispanic","fluVaccinations%Whiate","highSchoolCohortSize","highSchoolGradRate","someCollege","someCollegePop","someColleg%e","unEmployed","unEmployedLaborForce","unEmployed%","poverty%Children","poverty%ChildrenAIAN","poverty%ChildrenAsian","poverty%ChildrenBlack","poverty%ChildrenHispanic","poverty%ChildrenWhite","incomeInequal80th%ile","incomeInequal20th%ile","incomeInequalratio","childrenInSingleParent","singleParentHouseholds","childrenInSingleParent%","socialAssociations","socialAssociationsRate","violentCrimesAnnualAvg","violentCrimesRate","injuryDeaths","injuryDeathRate","injuryDeathRateAIAN","injuryDeathRateAsian","injuryDeathRateBlack","injuryDeathRateHispanic","injuryDeathRateWhite","airPollutionAveDlyPM25","drinkingWaterViolations","severeHousingProblems%","severeHousingCostBurden","severeHousingOvercrowding","severeHousingInadFacil","driveAloneToWork%","driveAloneToWork%AIAN","driveAloneToWork%Asian","driveAloneToWork%Black","driveAloneToWork%Hispanic","driveAloneToWork%White","driveAloneLongCommute","driveAloneLongCommute%"
"1","17000","Illinois",NA,143465,6683.4372243,NA,NA,NA,NA,NA,17.198676439,3.7528282633,3.8353229638,NA,8.3125686438,NA,NA,NA,NA,NA,15.459403452,29.7,8.6,22.3,90.799393202,21.444618067,1636,5121,31.946885374,75518,589.9,21.278189522,NA,NA,NA,NA,NA,837890,7.8885263268,10241,79.99517,"1250:1",9927,77.91333,"1283:1",29254,229.60377,"436:1",5092,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,85.4,2373332,3431354,69.16604932,278358,6469683,4.3024982831,16.2,NA,NA,NA,NA,NA,127239,25553,4.9794153328,942131,2902183,32.46283918,12729,9.9429597963,51758.5,403.07032297,39923,62.296738419,NA,NA,NA,NA,NA,11.5,NA,17.319936486,NA,NA,NA,73.091537364,NA,NA,NA,NA,NA,6124144,41.3
"2","17001","Illinois","Adams",895,7087.0936201,NA,NA,10315.539639,NA,7147.1582692,14.772517959,3.7135027448,4.0718884052,NA,7.6694619147,NA,NA,13.314447592,NA,7.3086514483,15.457187119,36.6,8.3,27.6,81.886055765,19.67664752,10,34,29.411764706,272,410.7,26.95456851,NA,NA,45.215562566,NA,25.636891325,2728,5.2365870045,59,89.07812,"1123:1",49,74.59165,"1341:1",172,261.83191,"382:1",6027,NA,NA,11642,NA,5887,50,NA,NA,56,NA,50,41,NA,47,34,35,41,NA,91.510770381,10684,15696,68.068297655,1277,32893,3.8822849846,15.9,NA,11.688311688,35.33007335,14.876033058,14.320464532,97200,23003,4.2255357997,4642,14784,31.398809524,97,14.645046351,229,346.26928864,292,87.818492409,NA,NA,90.638352972,NA,89.877869927,10.7,"Yes",10.994860499,9.388283127,0.9728340675,1.0462555066,82.307980283,NA,NA,70.157657658,NA,83.099499586,32054,16
"3","17003","Illinois","Alexander",140,9900.3563799,NA,NA,NA,NA,NA,24.272540011,4.8797433771,4.9253294313,NA,8.3194675541,NA,NA,9.7276264591,NA,7.2289156627,21.551918626,26.2,5.4,22.6,58.351541636,14.512381251,2,5,40,48,760.1,51.602814699,NA,NA,49.815498155,NA,52.706552707,311,6.3651248465,1,15.83531,"6315:1",2,33.0033,"3030:1",26,429.0429,"233:1",5385,NA,NA,5956,NA,5335,45,NA,NA,61,NA,39,35,NA,NA,21,NA,39,NA,92.547115385,582,1401,41.541755889,171,2153,7.9424059452,44.5,NA,NA,74.285714286,NA,41.370223979,63894,14944,4.2755620985,876,1562,56.081946223,8,12.668250198,92,1316.354271,35,105.66037736,NA,NA,85.984522786,NA,121.36511481,11.3,"No",17.554240631,14.411882778,2.9191321499,0.9467455621,86.070110701,NA,NA,NA,NA,NA,2168,43.7
"4","17005","Illinois","Bond",214,7288.1013403,NA,NA,NA,NA,NA,15.598466912,3.7656171298,4.0183938855,NA,8.9034676664,NA,NA,NA,NA,NA,16.571008524,25.5,8.4,24.9,62.719495723,20.247655725,8,18,44.444444444,55,324.5,17.882895875,NA,NA,NA,NA,NA,802,6.6122516283,12,70.80481,"1412:1",3,18.03969,"5543:1",26,156.34396,"640:1",4068,NA,NA,7519,NA,4032,40,NA,NA,42,NA,40,46,NA,NA,29,NA,46,NA,91.731825273,2586,4171,61.999520499,347,7929,4.3763400177,18.3,NA,NA,NA,53.684210526,18.882796436,106225,23908,4.4430734482,740,3186,23.226616447,19,11.210762332,6.5,39.246467818,76,89.812221553,NA,NA,NA,NA,NA,11.3,"No",13.636363636,9.7090606816,2.5619834711,1.5702479339,77.602394884,NA,NA,NA,NA,NA,7349,35.6
"5","17007","Illinois","Boone",586,6016.1864055,NA,NA,NA,3829.6710296,6585.5808789,15.614342008,3.6845202461,3.8412610331,NA,6.6633391565,NA,NA,10,6.5442936951,6.5631067961,15.135819484,33.4,8.8,26.6,88.837810394,20.002377203,9,30,30,154,287.8,17.802503477,NA,NA,25.052192067,26.407227241,13.821922212,3383,7.5019403482,30,56.06114,"1784:1",19,35.46298,"2820:1",22,41.0624,"2435:1",5445,NA,NA,2757,1885,5582,43,NA,46,67,42,42,48,NA,34,45,36,49,NA,91.256327769,7288,12451,58.533451128,1523,26473,5.7530313905,13.5,NA,NA,36.842105263,26.335174954,11.756838906,123282,29596,4.1654953372,4084,13643,29.934765081,35,6.5404668025,91.5,170.90824189,148,55.21419751,NA,NA,NA,36.538896525,61.773036823,11.4,"No",13.854930725,11.729240888,2.4721543059,0.1901657158,83.274245647,NA,NA,81.227651967,78.122956181,79.537928379,25386,37.6
"6","17009","Illinois","Brown",77,5628.0617043,NA,NA,NA,NA,NA,15.601500675,3.6198731876,3.7038532874,NA,6.5217391304,NA,NA,NA,NA,NA,16.962569089,23.4,7.5,23.2,75.695545625,23.068513354,0,2,0,6,89.3,28.402366864,NA,NA,NA,NA,NA,136,3.6247334755,1,14.88982,"6716:1",NA,NA,NA,21,320.31727,"312:1",5062,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,92.5,1098,2256,48.670212766,78,2896,2.6933701657,14.8,NA,NA,NA,NA,NA,100946,23893,4.2249194325,192,1046,18.355640535,7,10.422870756,6.5,134.39470692,18,53.420388782,NA,NA,NA,NA,NA,10.3,"No",7.7464788732,6.3477025107,2.8169014085,0,84.238905019,NA,NA,NA,NA,NA,2411,16.1
"7","17011","Illinois","Bureau",487,7205.6709591,NA,NA,NA,NA,NA,15.165622447,3.6541520785,3.9133763266,NA,6.3127090301,NA,NA,NA,6.3063063063,6.3310069791,14.711604734,27.4,8,30.4,77.797472697,19.695580918,14,38,36.842105263,65,195.5,18.024311863,NA,NA,NA,20.192307692,17.70367824,1578,6.0713323843,16,48.13043,"2078:1",12,36.37135,"2749:1",22,66.68081,"1500:1",2647,NA,NA,NA,NA,NA,43,NA,NA,NA,38,43,42,NA,35,25,37,42,NA,83.994395079,4213,7216,58.384146341,871,17390,5.0086256469,17.1,NA,11.428571429,21.698113208,28.22201317,22.903169322,101365,25363,3.9965698064,2384,7171,33.245014642,55,16.544836507,41.5,131.69377231,148,88.611081175,NA,NA,NA,NA,NA,11.5,"No",10.9882269,9.2429135271,1.5340706386,0.6064930432,83.033856629,NA,NA,NA,67.233238905,80.983182406,15861,22
"8","17013","Illinois","Calhoun",NA,NA,NA,NA,NA,NA,NA,13.69214692,3.5368197619,3.9319982649,"x",6.4220183486,NA,NA,NA,NA,NA,14.825065819,36.2,8.4,23.4,30.24169778,19.543815519,0,2,0,5,103.5,15.353121801,NA,NA,NA,NA,NA,223,5.9881847476,2,41.38216,"2417:1",1,20.82466,"4802:1",NA,NA,NA,4241,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,86.410344828,680,964,70.539419087,125,2340,5.3418803419,15.3,NA,NA,NA,41.304347826,17.184035477,104079,20385,5.1056659308,194,957,20.271682341,0,0,NA,NA,14,57.414698163,NA,NA,NA,NA,NA,10.8,"No",9.3023255814,8.2291666667,2.2739018088,0.2067183463,79.538763494,NA,NA,NA,NA,NA,2038,60.1
"9","17015","Illinois","Carroll",220,6472.7895525,NA,NA,NA,NA,NA,13.532288519,3.4911679732,3.8562819452,NA,5.9183673469,NA,NA,NA,NA,NA,14.349959406,25.1,8.3,28.3,71.365438357,18.974353087,6,16,37.5,31,213.5,24.031563845,NA,NA,NA,NA,NA,757,6.9833948339,5,34.44001,"2904:1",4,27.94857,"3578:1",18,125.76859,"795:1",4724,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,46,NA,NA,NA,38,46,NA,93.571914894,1696,2972,57.065948856,335,7525,4.4518272425,17,NA,NA,NA,32.544378698,10.832991383,91556,22127,4.1377502599,673,2762,24.366401159,23,15.842402535,6,46.851208371,61,83.906464924,NA,NA,NA,NA,NA,10.7,"Yes",10.45112782,9.7319524825,1.2030075188,0.5263157895,82.101047443,NA,NA,NA,NA,NA,6492,34.6
"10","17017","Illinois","Cass",173,7231.5257754,NA,NA,NA,NA,NA,17.318096731,3.7876673704,4.0670810801,NA,8.3540115798,NA,NA,18.181818182,7.5801749271,7.0556309362,15.9206666,34.7,8.8,26.9,60.181791526,19.70301273,4,15,26.666666667,47,375.8,38.791495711,NA,NA,NA,47.552447552,36.585365854,874,8.5035999222,NA,NA,NA,8,65.25285,"1533:1",67,546.49266,"183:1",5951,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,38,NA,NA,NA,4,38,NA,84.84736,1450,3132,46.296296296,277,6162,4.4952937358,15.8,NA,NA,44.047619048,25.080042689,9.3188010899,94475,23614,4.0008046074,1055,3022,34.910655195,17,13.594562175,67,518.05458904,47,74.081079377,NA,NA,NA,NA,NA,10.8,"No",9.3658536585,5.8997050147,2.4390243902,1.4634146341,80.337916184,NA,NA,NA,73.199527745,81.975903614,6037,28.5
