"","fips","state","county","premDeath","ypllRate","ypllrAIAN","yplrAsian","yplrBlack","yplrHispanic","yplrWhite","healthLow%","physPoorDays","mentPoorDays","lowBirthweight","lowBirthweight%","lowBirthweight%AIAN","lowBirthweight%Asian","lowBirthweight%Black","lowBirthweight%Hispanic","lowBirthweight%White","smokingAdult%","obesityAdult%","foodEnvirIndex","physicalInactivity%","exerciseOpportunities%","drinkingExcessive%","drivingDeathsAlcInvolv","drivingDeaths","drivingDeathsAlcInvolv%","stiChlam","stiChlamrate","teenBirthrate","teenBirthrateAIAN","teenBirthrateAsian","teenBirthrateBlack","teenBirthrateHispanic","teenBirthrateWhite","unInsuredrn","unInsuredrn%","primeCarePhys","primeCarePhysRate","primeCarePhysRatio","dentists","dentistRate","dentistRatio","mentHlthProv","mentHlthProvRate","mentHlthProvRatio","prevHospStayRate","prevHospStayRateAIAN","prevHospStayRateAsian","prevHospStayRateBlack","prevHospStayRateHispanic","prevHospStayRateWhite","mammogramAnnual%","mammogramAnnual%AIAN","mammogramAnnual%Asian","mammogramAnnual%Black","mammogramAnnual%Hispanic","mammogramAnnual%White","fluVaccinations","fluVaccinations%AIAN","fluVaccinations%Asian","fluVaccinations%Black","fluVaccinations%Hispanic","fluVaccinations%Whiate","highSchoolCohortSize","highSchoolGradRate","someCollege","someCollegePop","someColleg%e","unEmployed","unEmployedLaborForce","unEmployed%","poverty%Children","poverty%ChildrenAIAN","poverty%ChildrenAsian","poverty%ChildrenBlack","poverty%ChildrenHispanic","poverty%ChildrenWhite","incomeInequal80th%ile","incomeInequal20th%ile","incomeInequalratio","childrenInSingleParent","singleParentHouseholds","childrenInSingleParent%","socialAssociations","socialAssociationsRate","violentCrimesAnnualAvg","violentCrimesRate","injuryDeaths","injuryDeathRate","injuryDeathRateAIAN","injuryDeathRateAsian","injuryDeathRateBlack","injuryDeathRateHispanic","injuryDeathRateWhite","airPollutionAveDlyPM25","drinkingWaterViolations","severeHousingProblems%","severeHousingCostBurden","severeHousingOvercrowding","severeHousingInadFacil","driveAloneToWork%","driveAloneToWork%AIAN","driveAloneToWork%Asian","driveAloneToWork%Black","driveAloneToWork%Hispanic","driveAloneToWork%White","driveAloneLongCommute","driveAloneLongCommute%"
"11","17019","Illinois","Champaign",1764,5919.5112493,NA,NA,11795.58212,4062.935867,5475.7057754,16.332737938,3.8642220678,4.027667506,NA,8.2687651332,NA,6.5389696169,14.014184397,6.7844522968,6.4935064935,15.765181249,30.8,7.5,22.1,84.216808152,20.563806152,23,88,26.136363636,1704,813.8,12.836841879,NA,NA,36.018871348,26.533018868,7.4260202365,10225,6.0591156358,199,95.03388,"1052:1",135,64.29092,"1555:1",528,251.44893,"398:1",5169,NA,1255,9350,2569,4811,44,NA,45,41,43,44,48,NA,47,36,37,50,NA,86.297385241,42661,53335,79.98687541,4653,105669,4.4033727962,17.5,NA,12.724550898,39.70145345,31.717824448,9.4787802009,109091,17064,6.3930496953,13191,38615,34.160300401,249,11.891174265,1007,487.2054149,588,56.332900617,NA,9.507346586,77.829196466,34.394654088,61.218327826,11.8,"Yes",19.791148682,17.754281266,3.294380905,0.8453505719,70.173405864,NA,43.306818182,70.438874016,62.11010738,75.67587369,101842,13
"12","17021","Illinois","Christian",483,7327.3768236,NA,NA,NA,NA,NA,14.400168551,3.6455162721,3.9688611164,NA,8.7953313881,NA,NA,NA,NA,NA,15.659156087,29.2,8.4,29.2,67.261494253,20.224345409,10,29,34.482758621,105,317.2,30.833591571,NA,NA,NA,NA,NA,1524,6.026812196,13,39.27255,"2546:1",8,24.49404,"4083:1",19,58.17336,"1719:1",6709,NA,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,90.724602626,4471,7977,56.04863984,785,14837,5.2908269866,17.9,NA,NA,85.185185185,NA,15.826996198,93517,21289,4.3927380337,2513,6772,37.108682812,48,14.500634403,49.5,184.74630041,143,85.831242572,NA,NA,NA,NA,NA,11.5,"No",8.4172661871,7.2573529412,0.8633093525,0.6115107914,81.44903918,NA,NA,NA,NA,NA,14727,40.4
"13","17023","Illinois","Clark",226,7532.3294977,NA,NA,NA,NA,NA,15.401350458,3.8193463485,4.1926659159,NA,8.3397092578,NA,NA,NA,NA,NA,16.057719883,36.8,8.4,28.2,61.328435874,19.538929539,4,17,23.529411765,20,126.8,28.148990617,NA,NA,NA,NA,NA,751,5.9166469708,7,44.39652,"2252:1",2,12.8238,"7798:1",4,25.6476,"3899:1",6770,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,89.415291262,2302,3532,65.175537939,402,7775,5.1704180064,16.2,NA,NA,NA,6.4516129032,20.047520048,101640,24527,4.1440045664,1186,3591,33.027011974,28,17.758609755,24,189.13274755,65,81.802164611,NA,NA,NA,NA,NA,11.4,"No",8.5393258427,6.5610859729,1.797752809,0.1198501873,81.155579115,NA,NA,NA,NA,NA,7546,29.4
"14","17025","Illinois","Clay",211,7557.2849224,NA,NA,NA,NA,NA,14.938190571,3.7583062795,4.1050957267,NA,7.3741007194,NA,NA,NA,NA,NA,15.831943526,23.5,8.4,35.1,52.247557003,19.650199991,4,10,40,30,226.1,39.985052317,NA,NA,NA,NA,NA,652,6.2036156042,2,15.07273,"6635:1",7,52.81823,"1893:1",16,120.72738,"828:1",2511,NA,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,83.594516129,1854,2943,62.996941896,351,6611,5.30933293,18.8,NA,NA,NA,NA,NA,90784,19352,4.6911947086,1283,2939,43.654304185,27,20.348179968,8,59.755004482,46,68.893215516,NA,NA,NA,NA,NA,11.6,"No",9.8389982111,7.009009009,3.2021466905,0.5366726297,83.824991714,NA,NA,NA,NA,NA,6034,26.4
"15","17027","Illinois","Clinton",414,6112.7061718,NA,NA,NA,NA,NA,12.990591612,3.3393311503,3.7668305067,NA,6.5963957837,NA,NA,NA,NA,NA,15.021206292,38.9,8.7,21,63.865791007,23.212683991,3,34,8.8235294118,114,303.1,16.766467066,NA,NA,NA,41.666666667,15.909416655,1415,4.7577418379,13,34.5616,"2893:1",12,31.88182,"3137:1",17,45.16592,"2214:1",3090,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,40,NA,NA,24,25,40,NA,86.472071373,6567,9846,66.697135893,728,20378,3.5724801256,10.2,NA,NA,NA,45.185185185,8.602747329,115316,29507,3.9080896059,2170,7956,27.275012569,45,11.963630563,50.5,146.249638,114,60.437375746,NA,NA,NA,NA,NA,11.6,"No",9.7787294789,8.3652111151,1.0635260528,0.6423982869,84.296619411,NA,NA,NA,NA,NA,18340,37.7
"16","17029","Illinois","Coles",604,6782.1213222,NA,NA,NA,NA,NA,17.736598203,4.1569269894,4.5033126758,NA,7.6572729861,NA,NA,12.23628692,NA,7.2188204963,18.788086045,36.6,7.5,29.9,76.776864106,19.956051145,9,37,24.324324324,338,650.3,16.547192354,NA,NA,12.870733072,22.508038585,16.99374289,2788,6.9443060676,39,75.0303,"1333:1",27,53.06082,"1885:1",167,328.19102,"305:1",8415,NA,NA,5988,3236,8414,45,NA,NA,38,NA,46,42,NA,36,20,23,43,NA,93.802099334,8451,12419,68.048957243,1171,24195,4.8398429428,21.8,NA,29.591836735,38.823529412,6.8571428571,24.827160494,87837,16408,5.3533032667,3665,9300,39.408602151,70,13.466977048,146.5,277.51205236,140,53.629983758,NA,NA,NA,NA,NA,11.6,"No",15.169471439,14.166261546,0.971794264,0.8295804693,76.459602111,NA,NA,51.73553719,65.466448445,79.387814758,24630,18.3
"17","17031","Illinois","Cook",57660,7012.1419751,3308.6983799,2814.1246925,13519.590012,4776.0187413,5229.5608575,17.140851058,3.4710878007,3.6623129607,NA,8.9574233719,7.9411764706,9.296329997,14.082569976,7.3847594248,6.5679708612,13.776183162,28,8.3,21,99.145933095,22.237901344,399,1294,30.834621329,42422,814,24.486249899,10.618651893,2.4165103189,41.777933612,31.033813755,5.3780626637,437634,9.972268492,4863,93.31711,"1072:1",4718,91.07241,"1098:1",14046,271.1325,"369:1",5194,9749,2763,7996,4836,4326,40,31,35,38,37,42,45,42,53,33,41,50,NA,88.180003292,1099021,1557994,70.540772301,105409,2611512,4.0363207215,18.8,20.852764823,11.591454562,37.629092166,25.140908398,7.6693812323,129866,23452,5.5375234522,429260,1152812,37.235906635,3757,7.2093847499,31924.5,619.81359093,15701,60.203389373,20.79823631,17.429975326,104.38553359,35.727841125,54.493284402,15,"Yes",22.168420351,19.221363413,3.6277832861,0.8118958498,61.402349642,58.074277854,55.360704013,58.565394176,63.210127279,62.048868292,2498849,53
"18","17033","Illinois","Crawford",254,6747.5951688,NA,NA,NA,NA,NA,14.346339843,3.5523848374,3.8826022454,NA,8.3733699382,NA,NA,NA,NA,NA,15.979574429,27.5,8.3,29,61.538073371,20.9788441,3,12,25,26,137.1,30.160486995,NA,NA,NA,NA,NA,839,5.9251412429,11,58.01382,"1724:1",7,37.22018,"2687:1",38,202.05243,"495:1",2689,NA,NA,NA,NA,NA,47,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,88.611032028,3088,4959,62.270619076,470,8777,5.354904865,17.1,NA,NA,NA,20.987654321,11.904761905,102220,21805,4.6879156157,966,3743,25.80817526,30,15.821950319,42,288.53089685,71,74.04858004,NA,NA,NA,NA,NA,11.7,"No",10.86240948,8.521070766,1.1718235681,1.3166556945,82.868779432,NA,NA,NA,NA,NA,7857,15.4
"19","17035","Illinois","Cumberland",129,6408.9356941,NA,NA,NA,NA,NA,14.496170442,3.70454089,4.0553933461,NA,7.3988439306,NA,NA,NA,NA,NA,15.863592846,32.5,NA,28,1.330557567,20.198195317,2,14,14.285714286,18,165,21.69197397,NA,NA,NA,NA,NA,574,6.5301478953,NA,NA,NA,1,9.25241,"10808:1",4,37.00962,"2702:1",7774,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,87.352813853,1437,2536,56.664037855,246,6080,4.0460526316,15.2,NA,NA,NA,NA,NA,92767,22864,4.0573390483,578,2469,23.410287566,11,10.084341768,12.5,115.15961122,29,53.40208084,NA,NA,NA,NA,NA,11.6,"No",10.332541568,7.7015643803,2.1377672209,0.593824228,85.026218683,NA,NA,NA,NA,NA,5149,32.6
"20","17037","Illinois","DeKalb",930,5669.1522196,NA,NA,10520.099728,4612.3673867,5368.8921656,15.743360243,3.8648761841,4.1703728979,NA,7.4074074074,NA,7.2368421053,11.293436293,7.7054794521,6.6235581964,15.89541067,31.7,7.2,19.8,84.329593001,23.18572685,20,50,40,571,545.2,10.252080569,NA,NA,13.874066169,22.663500971,7.2762338915,5450,6.307213369,32,30.55388,"3273:1",64,61.45396,"1627:1",253,242.93519,"412:1",5605,NA,NA,15264,2175,5526,39,NA,18,29,35,39,50,NA,43,33,38,51,NA,89.926627106,19419,26014,74.648266318,2440,55487,4.3974264242,13.2,NA,20.289855072,58.57721747,27.135802469,8.7584408638,115691,23980,4.8244787323,7560,22294,33.910469185,97,9.2616462815,283,275.76126675,283,54.088353229,NA,NA,38.626816667,29.282576867,59.633365236,12.1,"No",19.376421785,17.004489185,2.7137695705,0.6663990365,80.122789008,NA,55.194218609,70.716264345,66.534114692,81.177208386,50656,36.5
"21","17039","Illinois","De Witt",231,8207.0808754,NA,NA,NA,NA,NA,13.917358386,3.5982665338,3.9153217245,NA,7.6033057851,NA,NA,NA,NA,NA,15.47872977,27.5,8.7,25,77.04848741,20.231840456,2,12,16.666666667,34,213.3,27.084601339,NA,NA,NA,NA,NA,669,5.2058205587,6,37.63643,"2657:1",5,31.70778,"3154:1",7,44.39089,"2253:1",4976,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,87.310658683,2425,3756,64.563365282,385,7582,5.0778158797,17.4,NA,NA,NA,29.885057471,16.492890995,103032,27273,3.777802222,859,3480,24.683908046,22,13.800025091,27,188.23201339,68,84.505641994,NA,NA,NA,NA,NA,11.5,"No",7.8125,6.3861758077,1.2648809524,0.2083333333,85.692995529,NA,NA,NA,NA,NA,8052,36.9
"22","17041","Illinois","Douglas",246,6829.6754456,NA,NA,NA,NA,NA,15.062310608,3.7090565328,3.9898038107,NA,6.4053009387,NA,NA,NA,8.0291970803,6.2578222778,15.715028593,30.9,8.7,24.2,70.840840841,20.249370529,2,17,11.764705882,48,243.1,19.808743169,NA,NA,NA,37.610619469,17.57560093,1499,9.2782867046,6,30.38282,"3291:1",11,56.47107,"1771:1",3,15.4012,"6493:1",6882,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,44,NA,NA,NA,35,44,NA,96.455864811,2587,4780,54.121338912,419,10212,4.1030160595,13.3,NA,NA,61.538461538,36.166007905,12.799419308,102553,23923,4.2867951344,1216,4890,24.867075665,30,15.191411789,36,223.22120601,72,73.045277927,NA,NA,NA,NA,NA,11.5,"No",10.978835979,8.6229946524,1.8518518519,1.0582010582,75.840517241,NA,NA,NA,75.33632287,72.434308379,9280,34.2
"23","17043","Illinois","DuPage",7045,4285.5627729,NA,2308.3190127,6649.8386847,3260.7809591,4665.2193248,12.902530389,3.1948201429,3.7184269267,NA,7.0265534439,NA,9.3732616355,11.75257732,6.6982935637,6.0930684566,12.257496254,26.9,9.1,18.1,99.626359437,19.848500634,43,173,24.855491329,2495,268.2,8.720363302,NA,2.3749892046,20.374167094,26.384372906,3.2162623646,50216,6.3975946593,1255,134.92767,"741:1",1000,107.69027,"929:1",2773,298.62512,"335:1",4037,NA,2215,7599,3690,4040,44,NA,37,41,38,45,52,27,51,39,44,53,NA,94.307007076,186915,238421,78.397037174,15924,508650,3.1306399292,7.9,18.798151002,9.1582762787,25.823741323,16.614961886,3.969026223,166159,39243,4.2341054456,41665,213675,19.499239499,868,9.3320489223,827,88.585961321,1863,40.025532122,NA,14.430649291,42.003137881,23.102483517,47.851130936,13.2,"No",15.873858725,13.590481444,2.3865362774,0.7183208697,76.876790652,85.380116959,78.557477679,83.369516949,79.435736092,85.660929215,480621,41.9
"24","17045","Illinois","Edgar",268,8341.9541081,NA,NA,NA,NA,NA,14.654341529,3.6667019801,4.0708523132,NA,8.9481946625,NA,NA,NA,NA,NA,15.360290299,30.9,7.2,28.9,53.321490095,19.369227272,1,17,5.8823529412,52,300.1,27.886224205,NA,NA,NA,NA,NA,816,6.0119354601,6,34.62604,"2888:1",5,28.80184,"3472:1",19,109.447,"914:1",6728,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,86.90917226,2463,4004,61.513486513,430,9200,4.6739130435,19.5,NA,NA,NA,36.363636364,16.308139535,86813,21210,4.0930221594,1352,3624,37.306843267,27,15.581717452,48,293.76663913,67,76.345446051,NA,NA,NA,NA,NA,11.3,"Yes",11.314584696,9.5962938451,0.7194244604,1.3734466972,82.337758112,NA,NA,NA,NA,NA,8136,24.8
"25","17047","Illinois","Edwards",93,6571.3980272,NA,NA,NA,NA,NA,13.881104925,3.6179139246,3.9783975196,NA,7.8039927405,NA,NA,NA,NA,NA,14.986962353,30.2,8.2,26.5,42.225859247,20.096014077,0,5,0,8,123.3,32.975460123,NA,NA,NA,NA,NA,297,5.8189655172,NA,NA,NA,1,15.64456,"6392:1",3,46.93367,"2131:1",2955,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,98.4,974,1409,69.127040454,126,2779,4.5340050378,14.7,NA,NA,NA,15.384615385,12.954545455,92968,22631,4.1079934603,341,1438,23.71349096,14,21.584952205,NA,NA,30,92.16023593,NA,NA,NA,NA,NA,11.7,"No",7.9422382671,6.384531193,0.8664259928,0.6859205776,84.625668449,NA,NA,NA,NA,NA,2992,26.3
"26","17049","Illinois","Effingham",385,6421.3367039,NA,NA,NA,NA,NA,14.113453311,3.4997723471,3.853931753,NA,7.3547979798,NA,NA,NA,NA,NA,15.118282713,27.2,8.5,21.6,57.572571696,22.624965039,5,30,16.666666667,62,181.6,27.470156767,NA,NA,NA,NA,NA,1575,5.5948278924,28,82.03445,"1219:1",26,76.00561,"1316:1",60,175.39757,"570:1",5193,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,34,NA,41,NA,NA,35,NA,92.339035667,5541,8365,66.24028691,716,19119,3.7449657409,12.7,NA,NA,16.363636364,24.809160305,16.813678925,105880,25382,4.1714600898,2121,7963,26.635690067,52,15.234970116,60.5,180.76428934,138,80.505434117,NA,NA,NA,NA,NA,11.8,"No",7.5478783327,6.1695685087,1.0814870447,0.8261359369,85.749400129,NA,NA,NA,NA,NA,17087,15.6
"27","17051","Illinois","Fayette",312,7409.7963725,NA,NA,NA,NA,NA,16.639989066,3.9971485183,4.1925291955,NA,7.4204946996,NA,NA,NA,NA,NA,17.433242818,24.2,7.2,27,52.926829268,19.784990008,5,33,15.151515152,40,183.6,34.112149533,NA,NA,NA,NA,NA,1152,7.2004500281,3,13.77158,"7261:1",9,42.02465,"2380:1",17,79.3799,"1260:1",5275,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,89.141138422,2827,5418,52.177925434,519,9810,5.2905198777,20.9,NA,NA,NA,NA,NA,93174,19952,4.6699077787,1544,4468,34.556848702,35,16.066838046,28,135.33761902,94,86.316137445,NA,NA,NA,NA,NA,11.5,"Yes",10.91503268,8.8859416446,2.0261437908,0.8366013072,84.96249414,NA,NA,NA,NA,NA,8532,30.2
"28","17053","Illinois","Ford",219,7920.2442309,NA,NA,NA,NA,NA,15.316361684,3.7984029755,4.1265886627,NA,6.492248062,NA,NA,NA,NA,NA,16.441938417,25.2,8,27.8,65.002485619,19.691862117,7,17,41.176470588,31,233.4,24.125042474,NA,NA,NA,NA,NA,661,6.1868214152,10,75.3012,"1328:1",5,37.69602,"2653:1",66,497.58745,"201:1",3549,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,84.907,1933,3020,64.006622517,305,6334,4.8152826018,15.9,NA,NA,4.2553191489,55.172413793,26.95620962,98493,22318,4.413164262,1090,3049,35.749426041,23,17.319277108,33.5,252.25903614,48,71.065839539,NA,NA,NA,NA,NA,11.5,"Yes",10.591350397,7.7638640429,1.094439541,1.8534863195,80.394375303,NA,NA,NA,NA,NA,6187,36.5
"29","17055","Illinois","Franklin",740,9524.3328824,NA,NA,NA,NA,NA,17.292388593,4.1745129313,4.3445447898,NA,8.4888621312,NA,NA,NA,NA,NA,17.773051014,26.6,7.8,28.5,59.869568514,18.542169354,14,42,33.333333333,103,263.8,45.819733869,NA,NA,NA,NA,NA,2082,6.7544770309,13,33.29833,"3003:1",15,38.75869,"2580:1",254,656.31379,"152:1",6875,NA,NA,NA,10253,6853,39,NA,NA,NA,NA,NA,35,NA,NA,26,19,35,NA,83.336198347,5863,9202,63.714409911,1049,17065,6.1470846762,26,NA,NA,30.927835052,48.571428571,25.704405738,82143,16805,4.888009521,3220,8447,38.120042619,64,16.39302272,57,160.30824181,215,109.80928936,NA,NA,NA,NA,NA,11.7,"No",11.402966625,9.7095959596,1.1433868974,1.174289246,83.578850454,NA,NA,NA,NA,NA,15206,35.2
"30","17057","Illinois","Fulton",574,8015.369587,NA,NA,NA,NA,NA,15.800072405,3.8792065589,4.018733185,NA,7.7308817384,NA,NA,NA,NA,NA,16.784846708,28.8,7.9,23.2,56.982923737,19.382443468,7,23,30.434782609,103,293.4,31.881918819,NA,NA,NA,NA,NA,1636,6.3841411067,11,31.33011,"3192:1",7,20.08954,"4978:1",19,54.52876,"1834:1",5795,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,35,NA,NA,NA,36,35,NA,89.029985755,5236,8781,59.628743879,951,15224,6.246715712,20.5,NA,NA,43,12.65060241,22.60856362,91211,21117,4.3193161907,2910,6986,41.654738048,59,16.804329251,36,115.29038766,141,79.572902323,NA,NA,NA,NA,NA,11.2,"No",10.863411182,8.8944543828,1.0898796886,1.2384996461,85.391222655,NA,NA,NA,NA,NA,14902,38.6
"31","17059","Illinois","Gallatin",106,10592.794228,NA,NA,NA,NA,NA,16.572608522,4.0208402201,4.3018387167,NA,7.5268817204,NA,NA,NA,NA,NA,17.027156625,23,5.8,24.2,36.536052961,18.316860763,0,3,0,4,78.7,35.602094241,NA,NA,NA,NA,NA,257,6.622004638,1,19.68504,"5080:1",NA,NA,NA,NA,NA,NA,7096,NA,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,89.5,660,1150,57.391304348,140,2434,5.7518488085,31.9,NA,NA,NA,NA,NA,84849,17754,4.7791483609,455,1069,42.563143124,6,11.811023622,8,179.67434026,26,100.3628503,NA,NA,NA,NA,NA,11.4,"No",5.6644880174,3.6123348018,0.6100217865,1.74291939,85.533980583,NA,NA,NA,NA,NA,2060,41.8
"32","17061","Illinois","Greene",212,9478.3375679,NA,NA,NA,NA,NA,15.498565151,3.8623339312,4.1138292776,NA,7.1729957806,NA,NA,NA,NA,NA,16.87536568,28.2,7.9,28.3,55.653175861,19.516636448,6,15,40,29,220.1,28.708133971,NA,NA,NA,NA,NA,669,6.4296011533,3,22.77213,"4391:1",4,30.66544,"3261:1",NA,NA,NA,6002,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,95.242807018,1555,3103,50.11279407,295,6015,4.9044056525,19.9,NA,NA,NA,NA,NA,86829,20116,4.3164147942,999,2750,36.327272727,17,12.904205253,27,202.94648226,75,113.66047343,NA,NA,NA,NA,NA,10.8,"Yes",10.984848485,8.9423076923,1.2310606061,1.0416666667,83.367071525,NA,NA,NA,NA,NA,5928,44
"33","17063","Illinois","Grundy",563,6220.7923645,NA,NA,NA,NA,NA,13.514413201,3.3177838087,3.7293429138,NA,6.976744186,NA,NA,NA,8.9715536105,6.652006597,14.514442128,34.9,8.6,24.6,87.50973773,22.156978916,16,38,42.105263158,120,237.2,13.850181573,NA,NA,NA,12.040939193,14.011574779,2181,4.9975940056,16,31.6293,"3162:1",20,39.23723,"2549:1",63,123.59727,"809:1",5451,NA,NA,NA,1564,5493,44,NA,NA,NA,36,44,45,NA,NA,19,32,45,NA,93.817420397,8958,13469,66.508278269,1183,25255,4.6842209463,8.3,NA,NA,10.23255814,10.662983425,9.0020728457,132983,34403,3.8654477807,3083,12736,24.206972362,48,9.4887913652,50,101.41679259,148,58.507042588,NA,NA,NA,NA,NA,12,"No",14.640734738,12.628117292,1.3722312264,1.8368449487,88.560720251,NA,NA,NA,87.077534791,88.773326994,24547,43.9
"34","17065","Illinois","Hamilton",113,6870.0768063,NA,NA,NA,NA,NA,15.21274661,3.7439671315,4.0746629873,NA,7.0085470085,NA,NA,NA,NA,NA,16.029568925,25.4,8.3,27.5,11.682629774,19.442642487,3,6,50,9,109.8,26.84144819,NA,NA,NA,NA,NA,364,5.6848352335,4,48.81621,"2049:1",1,12.2504,"8163:1",2,24.5008,"4082:1",7113,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,98.7,1301,1807,71.997786386,196,4493,4.36234142,19.6,NA,NA,NA,NA,NA,102482,22694,4.5158191592,404,1815,22.258953168,29,35.391750061,3,55.391432792,23,56.215476365,NA,NA,NA,NA,NA,11.3,"No",9.5729013255,8.3081570997,0.706921944,1.1782032401,78.411980786,NA,NA,NA,NA,NA,3539,44.1
"35","17067","Illinois","Hancock",242,7116.411931,NA,NA,NA,NA,NA,13.997109854,3.7031970713,3.9951485179,NA,6.4323111444,NA,NA,NA,NA,NA,14.652541658,31.1,7.6,30.5,58.354271357,19.011845226,1,9,11.111111111,28,155.4,20.402380278,NA,NA,NA,NA,NA,771,5.5720170557,4,22.19756,"4505:1",6,33.62475,"2974:1",27,151.31137,"661:1",4397,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,82.220763723,2297,3766,60.993096123,400,8469,4.7231078049,16.8,NA,NA,NA,44.262295082,16.987542469,92212,23009,4.0076491808,1106,3780,29.259259259,32,17.758046615,10,75.6859035,70,76.520294275,NA,NA,NA,NA,NA,10.8,"No",7.3139158576,5.8823529412,1.2297734628,0.5177993528,84.860209685,NA,NA,NA,NA,NA,8012,34.5
"36","17069","Illinois","Hardin",107,12782.388916,NA,NA,NA,NA,NA,17.617054518,4.1467335961,4.3475970118,"x",8.2191780822,NA,NA,NA,NA,NA,17.958192509,24.5,7.8,25.5,77.893518519,17.954862783,3,6,50,5,123.6,23.899371069,NA,NA,NA,NA,NA,211,7.2934669893,4,98.86307,"1012:1",1,25.57545,"3910:1",1,25.57545,"3910:1",12206,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,91.8,556,929,59.849300323,105,1343,7.8183172003,32,NA,NA,NA,90.909090909,19.188767551,82158,17926,4.5831752761,175,706,24.787535411,3,7.4147305981,8.5,206.58646251,15,74.096028453,NA,NA,NA,NA,NA,11.1,"No",11.627906977,8.6608927382,0.6644518272,2.3255813953,86.414253898,NA,NA,NA,NA,NA,1347,36.8
"37","17071","Illinois","Henderson",112,7736.2685501,NA,NA,NA,NA,NA,13.845063873,3.5101359408,3.9008651394,NA,10.538116592,NA,NA,NA,NA,NA,14.314352686,26.5,8.8,31.9,44.086754877,18.85581456,4,9,44.444444444,16,235.5,21.459227468,NA,NA,NA,NA,NA,383,7.5156985871,NA,NA,NA,11,163.95886,"610:1",2,29.8107,"3355:1",6167,NA,NA,NA,NA,NA,47,NA,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,82,789,1294,60.973724884,183,3664,4.9945414847,16.1,NA,NA,NA,NA,NA,88547,26215,3.3777226779,330,1270,25.984251969,8,11.773362767,NA,NA,29,84.587562711,NA,NA,NA,NA,NA,10.7,"No",6.3829787234,5.224625624,1.1129296236,0.8183306056,84.17466708,NA,NA,NA,NA,NA,3229,34.2
"38","17073","Illinois","Henry",632,6187.2575413,NA,NA,NA,NA,NA,14.378699355,3.5950148752,3.9058653214,NA,7.1524966262,NA,NA,NA,6.4102564103,7.175854635,14.6948895,36.6,8.4,25.6,77.205561938,20.295937837,7,29,24.137931034,115,233.1,23.502350235,NA,NA,37.5,33.084311633,22.144927536,2440,6.245360772,11,22.29971,"4484:1",20,40.7415,"2455:1",23,46.85272,"2134:1",3841,NA,NA,NA,8047,3830,42,NA,NA,20,32,42,50,NA,NA,19,46,50,NA,92.072644628,7245,11140,65.035906643,1259,25083,5.0193358051,16.6,NA,NA,56.569343066,26.507177033,15.813449024,104789,23405,4.4772057253,2961,11034,26.835236542,69,13.987998703,58,129.81344912,156,63.203442157,NA,NA,NA,NA,NA,11.3,"Yes",7.9731743666,7.185778668,0.5464480874,0.4719324391,86.304386119,NA,NA,NA,NA,NA,22708,32.3
"39","17075","Illinois","Iroquois",497,9909.0662356,NA,NA,NA,NA,NA,16.116657442,3.889652591,4.1103502017,NA,7.7678989237,NA,NA,NA,9.9502487562,7.468220339,15.646659156,29,8.1,25.7,42.055320008,18.47785877,11,42,26.19047619,52,186.5,27.162139643,NA,NA,NA,27.607361963,27.8978389,1683,7.7443401436,10,35.87315,"2788:1",8,28.98131,"3451:1",73,264.45443,"378:1",5088,NA,NA,NA,NA,NA,40,NA,NA,42,33,40,37,NA,NA,24,25,38,NA,94.021289355,3464,6039,57.360490147,645,14394,4.4810337641,16.6,NA,NA,67,52.2696011,13.658340048,93795,22359,4.1949550517,1773,6072,29.199604743,43,15.425455589,36,136.36621906,148,104.69352386,NA,NA,NA,NA,NA,11.7,"No",13.823529412,11.380329253,1.7647058824,2.3949579832,82.127822426,NA,NA,NA,82.078313253,80.239590602,13065,31.9
