"","FIPS","State","County","Deaths","Years of Potential Life Lost Rate","% Fair or Poor Health","Average Number of Physically Unhealthy Days","Average Number of Mentally Unhealthy Days","% Low Birthweight","% Smokers","% Adults with Obesity","Food Environment Index","% Physically Inactive","% With Access to Exercise Opportunities","% Excessive Drinking","# Alcohol-Impaired Driving Deaths","# Driving Deaths","% Driving Deaths with Alcohol Involvement","# Chlamydia Cases","Chlamydia Rate","Teen Birth Rate","# Uninsured","% Uninsured","# Primary Care Physicians","Primary Care Physicians Rate","Primary Care Physicians Ratio","# Dentists","Dentist Rate","Dentist Ratio","# Mental Health Providers","Mental Health Provider Rate","Mental Health Provider Ratio","Preventable Hospitalization Rate","% With Annual Mammogram","% Vaccinated","Cohort Size","High School Graduation Rate","# Some College","Population","% Some College","# Unemployed","Labor Force","% Unemployed","% Children in Poverty","80th Percentile Income","20th Percentile Income","Income Ratio","# Single-Parent Households","# Households","% Single-Parent Households","# Associations","Social Association Rate","Annual Average Violent Crimes","Violent Crime Rate","# Injury Deaths","Injury Death Rate","Average Daily PM2.5","Presence of Water Violation","% Severe Housing Problems","Severe Housing Cost Burden","Overcrowding","Inadequate Facilities","% Drive Alone to Work","# Workers who Drive Alone","% Long Commute - Drives Alone"
"56","17109","Illinois","McDonough",356,6624.9151495,17.1754568,4.0670838904,4.3517297879,6.6598881546,16.749291714,34.8,7.4,27.1,72.454924568,20.768385973,4,13,30.769230769,301,976.5,9.3580549239,1573,7.1379951899,15,48.66496,"2055:1",9,30.04507,"3328:1",61,203.63879,"491:1",4206,36,47,NA,89.252420185,4669,6548,71.304215027,684,13359,5.1201437233,22.9,96850,15580,6.2163029525,1532,5120,29.921875,43,13.950621289,81.5,257.36571194,98,63.231109706,10.8,"No",15.118243243,13.472654513,1.9847972973,1.097972973,74.893227578,13112,15.2
"57","17111","Illinois","McHenry",2908,5319.7585802,13.410050334,3.2857627073,3.7207096843,6.6039010766,13.611800059,33,8.9,21.3,91.671524809,22.039253491,51,119,42.857142857,759,245.5,9.3212362077,15821,5.9537428688,158,51.11251,"1956:1",193,62.54659,"1599:1",596,193.14904,"518:1",4866,42,50,NA,93.090276588,51688,73353,70.464739002,5799,165849,3.4965540944,7.8,147437,39380,3.743956323,14554,73738,19.737448805,216,6.9875324306,288,95.731314112,890,57.817662581,12.1,"No",13.699936427,12.149874343,1.6710562165,0.4677141041,82.378912315,160359,49.2
"58","17113","Illinois","McLean",1492,5514.6079745,14.719305294,3.4999604338,3.8027216952,7.8423149507,14.973773714,33.5,7.7,23.2,83.865260774,21.944173257,21,68,30.882352941,966,560.7,11.609046673,7229,5.1281505601,98,56.88084,"1758:1",116,67.11875,"1490:1",444,256.90282,"389:1",4077,55,57,NA,91.588411574,34198,43694,78.267038953,3680,87889,4.187099637,10.5,130476,25210,5.1755652519,9086,37419,24.281781982,203,11.782459806,496.5,287.30394327,473,54.697067289,11.7,"Yes",13.766962323,12.465711204,1.5540899098,0.5913122584,80.61097884,89463,15.6
"59","17115","Illinois","Macon",1585,8084.8688678,16.337623633,3.8841816905,4.2408942144,9.7391490272,16.439218044,31.5,7.4,29.6,85.029069767,17.846508609,23,63,36.507936508,756,714.5,35.59056417,4550,5.5362227143,88,83.17502,"1202:1",59,56.34502,"1775:1",154,147.07006,"680:1",6514,48,46,NA,84.808781484,16007,24788,64.575601097,2795,49961,5.5943636036,27,98691,20566,4.7987455023,9728,23610,41.202880136,162,15.311764539,416.5,389.60553025,397,74.523761254,11.8,"No",13.096299599,11.325873177,1.448952296,0.8916629514,83.815176463,47007,13.7
"60","17117","Illinois","Macoupin",700,8521.5324205,14.360907995,3.640731782,4.1235867912,9.6015061186,15.814530973,28,8.2,23.4,61.298021564,19.858591599,7,25,28,102,224.4,20.663744521,2149,5.9535682624,11,24.20455,"4131:1",16,35.30996,"2832:1",24,52.96493,"1888:1",4784,44,35,NA,87.940447234,6546,10438,62.713163441,1132,23066,4.9076562906,19.3,103007,23261,4.4283134861,3032,9666,31.36768053,73,16.063019848,75,170.07381203,203,88.582462418,11.5,"No",10.557184751,8.5173160173,1.4876033058,0.9064249533,83.457313168,20299,43
"61","17119","Illinois","Madison",3872,8583.3797377,15.327855388,3.5633936141,3.9721839776,8.5049112202,16.476964233,36.9,7.5,23.9,81.337779725,20.939101793,57,166,34.337349398,1238,466.4,23.230410719,10782,4.9205690007,121,45.58675,"2194:1",231,87.34747,"1145:1",416,157.30108,"636:1",5091,42,51,NA,86.985338718,47800,68146,70.143515393,6080,134575,4.5179268066,17.3,111283,24716,4.5024680369,18848,57791,32.614074856,362,13.638350136,580.5,248.72637528,1263,95.075567386,12.6,"No",12.096435079,10.584945013,1.051254497,1.051254497,85.263132343,123588,37.7
"62","17121","Illinois","Marion",707,11020.310499,16.715550642,3.9753565297,4.2113966595,8.7867326157,17.383112956,29.6,7.2,32.3,64.728554403,18.721893362,11,36,30.555555556,145,382.6,43.089328462,1854,6.173415024,14,36.93736,"2707:1",15,39.87241,"2508:1",110,292.39766,"342:1",6641,42,46,NA,82.080718796,5340,8767,60.91023155,879,17778,4.9443131961,30.2,89437,20122,4.4447371037,3535,8477,41.701073493,85,22.42625719,127.5,347.06626924,194,101.79879521,11.6,"Yes",12.941919192,9.5132039453,2.0517676768,1.8939393939,85.171990172,16280,24.3
"63","17123","Illinois","Marshall",208,8022.25368,13.494886361,3.4856533846,3.8608589529,8.111239861,14.477472573,26.5,8.4,26.5,58.393987342,20.258272002,8,15,53.333333333,19,162,27.589326097,528,5.8862876254,1,8.52515,"11730:1",4,34.68008,"2884:1",NA,NA,NA,3463,43,43,NA,86.506382979,1477,2435,60.657084189,286,5510,5.1905626134,13.6,104012,23773,4.3752155807,490,2318,21.138912856,21,17.902813299,18,161.11707841,46,77.704015271,11.5,"No",9.4853683148,8.3045685279,1.0090817356,0.2018163471,84.547002081,5287,48.3
"64","17125","Illinois","Mason",237,7534.7004087,14.906069905,3.7456682008,4.0902277747,8.0906148867,16.240359929,29.8,7.4,27.4,54.670666848,19.414932841,3,7,42.857142857,36,262.5,31.207598372,663,6.2529472791,3,21.87386,"4572:1",5,36.85957,"2713:1",4,29.48765,"3391:1",4358,44,35,NA,87.041523342,1572,2999,52.417472491,379,6318,5.9987337765,23.4,90077,22115,4.0731177934,1114,2808,39.672364672,20,14.582573824,36,363.5996364,65,95.048694177,11.2,"No",11.585866886,10.17369727,0.8052588332,0.8216926869,80.708401977,6070,43.1
"65","17127","Illinois","Massac",293,11413.566975,16.496836009,3.9261385011,4.2177694444,7.8733031674,16.249928423,33.4,7.8,30.9,77.166375008,18.150717856,7,16,43.75,68,474.1,36.668951337,696,6.1435254656,3,20.91467,"4781:1",5,35.51136,"2816:1",43,305.39773,"327:1",5597,45,47,NA,86.321171171,2063,3304,62.439467312,403,5748,7.0111343076,26.1,88472,18706,4.7296054742,1074,3197,33.59399437,25,17.428890128,47,318.13720513,68,93.466936071,11.2,"No",13.865546218,12.46179966,1.512605042,0.3361344538,84.753042233,5588,28.3
