YPLLRate,HealthPoorPct,LBWPct,ObeseAdultsPct,DrinkExcPct,HSGradRate,UnemployedPct,ViolsCrimeAnlAvg,WaterViol,DistressFreqPhysPct,HIVRate,FoodHealthLimAccPct,IncHousehldMedian,HomeownersPct
11825.56396,21.83380312,8.522283034,32.6,14.3314551,88.05555556,4.18851929,84,No,14.50540137,81.8,2.122488173,43909,79.0960893
6973.45029,21.46390783,8.684712162,29.9,15.74760323,91.14302813,3.620703512,652,Yes,13.82912449,197.7,12.24950372,48937,60.3321375
7722.208551,20.11404561,9.299363057,33.9,14.96338315,92.00743494,3.545396646,147,No,13.5740957,129.5,3.518353856,64863,78.01780489
15840.44178,30.35591055,14.0291807,46.9,10.35372988,91.30434783,7.310344828,55.5,No,17.61559354,606.4,13.06214495,33973,73.66028708
12688.78087,29.86333813,13.62940276,49.6,10.73504514,80,5.463152508,137.5,Yes,17.20494401,496.6,21.63866443,32495,65.74571167
8270.305986,19.25782533,9.741973067,32.9,15.58025881,93.19437469,3.460323112,2154.5,No,13.05633916,236.6,7.467345123,63755,67.22613868
12171.58483,26.24173744,12.38670695,42.2,11.86980271,90.90909091,5.007247332,88,No,16.75852132,195.6,12.62897065,37733,71.22811535
11106.40739,22.25650467,9.481550677,36.8,14.03490007,90.2173913,4.087975138,89,Yes,14.72868105,113.5,3.254542626,37887,75.36030134
10062.94593,22.39465306,8.130519061,34.4,14.19656084,92.28934817,3.382787924,272,No,15.35998147,115.4,5.187505411,46233,70.36623109
10464.35973,22.3990914,11.82239521,36.3,15.19329811,83.70992038,4.694620236,2273,Yes,14.41975759,510.8,10.2659253,43598,64.8908112
12611.65879,30.01619585,12.17277487,41.8,11.23033314,88.03088803,6.174909193,104.5,No,17.95022311,213.7,12.83952666,39556,60.89090686
9820.775786,23.87508622,12.42354221,37.7,13.85100674,81.60813309,3.996059823,1200,No,15.4186848,749.8,14.57214106,49640,58.58073134
9540.78076,20.55428234,8.768373036,32.4,13.5503695,90.19607843,3.519764284,215.5,No,13.73709445,140.7,4.084201812,52797,72.13775577
14264.36598,35.42905408,14.28571429,43.4,9.686567271,93.06930693,6.535178098,22,No,21.16117772,272.4,4.885117508,26814,72.75089315
9794.391914,26.59326475,13.01282051,34.9,12.32901333,98.18181818,4.561178732,35,No,16.30586791,280.7,0.89215884,37586,73.95750332
10402.61329,24.55416321,10.35013467,36.2,15.00951282,87.28522337,4.504267892,187.5,No,15.95066654,356.5,6.304344574,37259,59.27946653
10407.06325,21.3892945,9.317803661,37.4,14.00682348,91.80887372,4.01551688,44.5,No,14.47389808,57.5,6.815483083,40546,73.41200972
11234.37484,25.46314877,10.40443027,45.1,13.28764591,88.14589666,4.020544773,305.5,No,15.37895141,417,5.546703228,39104,59.81090589
6106.016075,16.48943997,7.283763278,35,17.04965513,94.22158548,2.851423054,418.5,No,11.72232451,155.4,4.302479799,75663,79.67265856
9942.758026,19.27257125,8.770949721,36.6,15.14834421,88.4057971,3.495199456,260.5,No,13.32755638,142.3,1.567858407,57284,78.94131543
13159.07105,33.63301606,12.28771229,42.8,10.71973787,76.97841727,5.893456376,57,No,18.95297502,323.2,10.37288563,27859,64.94947494
12063.08916,23.19712431,11.62828947,38.8,13.93203336,92.70239453,4.279833038,378,No,14.59414673,268,5.854664594,41630,71.29620785
10543.51064,22.84730675,14.97429306,36,13.18244811,89.89247312,4.186360567,258,No,14.51525338,188.3,4.324954396,42205,72.84776265
8773.640749,20.26232998,10.90658868,34.6,16.05198808,88.52459016,3.656627514,819,No,13.8765712,246.9,6.494042565,52557,63.15091394
15205.87371,24.37171888,10.18957346,39.6,13.83630308,90.35846724,4.249562311,292,No,15.73529864,143.6,5.210069744,45434,76.07045854
12133.23899,23.04085882,12.2909699,32.9,13.98978232,92.67241379,5.834708265,40.5,No,15.24625807,85.1,3.583565886,44424,83.80223073
