"","YPLLRate","HealthBadDaysMentAvg","HospPrevRate","Income20thpcntl","InjuryDeathRate","LBWPct","LifeExpect","MammAnnualPct","PhysInactPct","SmokersPct","UnemployedPct","UninsAdultPct","VaccinatedPct"
"3055",4588.0504581,3.3373004288,2148,33611,58.627003759,6.6500415628,80.861148257,51,19.1,14.157229097,2.5609799778,4.9576037166,49
"3056",5968.6827173,3.5319019557,4708,25797,72.507439075,6.2639821029,79.857034839,56,20.6,15.383002818,3.2846932698,6.4257028112,53
"3057",6818.9600835,3.9042887236,4807,25123,65.967259408,5.2644836272,78.626500643,52,25.5,17.670510932,2.8840332434,15.832975526,35
"3058",6419.8529487,3.3725292275,4644,30377,96.177134413,5.7692307692,79.167854462,40,20.2,14.981969488,2.6913161039,6.2006632039,53
"3059",6987.299214,3.575672712,5616,21597,72.295947751,6.5255731922,79.887928546,50,24,15.898762759,3.6957073914,7.0430666205,46
"3060",4914.8365002,3.4136794784,3607,31163,69.736375369,6.9258866502,81.717431012,43,13.7,12.442923628,2.2265267991,5.8787258871,65
"3061",6868.1583416,3.3415539963,2824,28275,97.101255283,6.6736916052,78.538822603,51,20.6,15.475755585,2.6230120057,6.1764234804,53
"3062",4930.8206001,3.3264824587,2385,28341,93.47826087,7.0802427512,81.151998536,50,20.2,13.029937925,3.6066843022,7.6624506458,40
"3063",6019.0853869,3.682416233,6634,23594,68.108605614,6.2222222222,79.165862433,43,19,17.813739463,3.9802702123,7.5903240813,49
"3064",5615.8936247,3.728909755,2826,25641,72.986163973,5.8258642766,80.418246028,49,18.9,16.230806759,3.0512495399,6.8098440844,55
"3065",6039.2626809,3.7593118383,5057,23607,71.867127393,6.3482539302,79.534466852,54,20.1,16.445144577,2.6062753036,7.3356611023,58
"3067",5726.5122749,3.6043582356,2912,27317,80.939998827,7.0383182544,80.441513037,54,24.6,15.788275921,2.6344999827,6.1637303619,54
"3068",12198.035925,3.9607739472,3412,19590,132.71693689,6.8783068783,74.836282402,52,22.6,19.328996131,4.8024012006,12.460380349,33
"3069",5212.1922891,3.7927868883,5181,23101,61.574932845,5.2779194289,80.279907738,42,21.1,16.299603557,2.8429032711,8.8084177928,44
"3070",5077.9870756,3.5059520958,3674,28221,60.506526061,6.1816811157,80.647572993,38,24.7,14.519826132,2.5514519312,6.5972064243,58
"3071",7269.0858778,3.6999150475,3235,24416,100.96823221,6.5817409766,77.916443205,50,27.8,16.17346863,3.325488591,8.6333012512,52
